locus_tag	ftype	length_bp	gene	EC_number	COG	product
KBOACNCO_00049	CDS	1476	glgA_1	2.4.1.21	COG0297	Glycogen synthase
KBOACNCO_00050	CDS	594	tetC			Transposon Tn10 TetC protein
KBOACNCO_00051	CDS	675				hypothetical protein
KBOACNCO_00052	CDS	990	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
KBOACNCO_00053	CDS	1758				hypothetical protein
KBOACNCO_00054	CDS	729	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KBOACNCO_00055	CDS	522				hypothetical protein
KBOACNCO_00056	CDS	762	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KBOACNCO_00057	CDS	1707				hypothetical protein
KBOACNCO_00058	CDS	756		2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
KBOACNCO_00059	CDS	660				hypothetical protein
KBOACNCO_00060	CDS	702				hypothetical protein
KBOACNCO_00061	CDS	378				hypothetical protein
KBOACNCO_00062	CDS	516				hypothetical protein
KBOACNCO_00063	CDS	3030				hypothetical protein
KBOACNCO_00064	CDS	252				hypothetical protein
KBOACNCO_00065	CDS	288				hypothetical protein
KBOACNCO_00066	CDS	810	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
KBOACNCO_00067	CDS	534	adk_1	2.7.4.3	COG0563	Adenylate kinase
KBOACNCO_00068	CDS	828	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
KBOACNCO_00069	CDS	333	trxA_1		COG0526	Thioredoxin
KBOACNCO_00070	CDS	267				hypothetical protein
KBOACNCO_00071	CDS	240				hypothetical protein
KBOACNCO_00072	CDS	2334	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
KBOACNCO_00073	CDS	753				hypothetical protein
KBOACNCO_00074	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
KBOACNCO_00075	CDS	1563	mdtA			Multidrug resistance protein MdtA
KBOACNCO_00076	CDS	576	gmk	2.7.4.8	COG0194	Guanylate kinase
KBOACNCO_00077	CDS	1332	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
KBOACNCO_00078	CDS	1260	crtX	2.4.1.276		Zeaxanthin glucosyltransferase
KBOACNCO_00079	CDS	375				hypothetical protein
KBOACNCO_00080	CDS	645	cpcF	4.-.-.-	COG1413	Phycocyanobilin lyase subunit beta
KBOACNCO_00081	CDS	1689				hypothetical protein
KBOACNCO_00082	CDS	792				hypothetical protein
KBOACNCO_00083	CDS	966	qmcA		COG0330	Protein QmcA
KBOACNCO_00084	CDS	2025	rne	3.1.26.12		Ribonuclease E
KBOACNCO_00085	CDS	648	rnhB	3.1.26.4	COG0164	Ribonuclease HII
KBOACNCO_00086	CDS	411	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
KBOACNCO_00087	CDS	2157	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
KBOACNCO_00088	CDS	591	lepB	3.4.21.89	COG0681	Signal peptidase I
KBOACNCO_00089	CDS	1392		1.1.1.38		NAD-dependent malic enzyme
KBOACNCO_00090	CDS	978	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
KBOACNCO_00091	CDS	948	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
KBOACNCO_00092	CDS	2181				hypothetical protein
KBOACNCO_00093	CDS	1389				hypothetical protein
KBOACNCO_00094	CDS	144				hypothetical protein
KBOACNCO_00095	CDS	90				hypothetical protein
KBOACNCO_00096	CDS	855	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KBOACNCO_00097	CDS	723	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
KBOACNCO_00098	CDS	1092				hypothetical protein
KBOACNCO_00099	CDS	333	prlF		COG2002	Antitoxin PrlF
KBOACNCO_00100	CDS	498	yhaV	3.1.-.-		Ribonuclease toxin YhaV
KBOACNCO_00101	CDS	975				hypothetical protein
KBOACNCO_00102	CDS	1329				hypothetical protein
KBOACNCO_00103	CDS	306				hypothetical protein
KBOACNCO_00104	CDS	399				hypothetical protein
KBOACNCO_00105	CDS	1209				hypothetical protein
KBOACNCO_00106	CDS	1176	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
KBOACNCO_00107	CDS	468				hypothetical protein
KBOACNCO_00108	CDS	1200	lpd	1.8.1.4		Dihydrolipoyl dehydrogenase
KBOACNCO_00109	CDS	393				hypothetical protein
KBOACNCO_00110	CDS	240				hypothetical protein
KBOACNCO_00111	CDS	942	xerC		COG4973	Tyrosine recombinase XerC
KBOACNCO_00112	CDS	285				hypothetical protein
KBOACNCO_00113	CDS	1119	thiO	1.4.3.19	COG0665	Glycine oxidase
KBOACNCO_00114	CDS	495				IS630 family transposase ISTcSa
KBOACNCO_00115	CDS	360				hypothetical protein
KBOACNCO_00116	CDS	1992	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KBOACNCO_00117	CDS	426	psaD			Photosystem I reaction center subunit II
KBOACNCO_00118	CDS	1527	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
KBOACNCO_00119	CDS	909		2.5.1.10		Farnesyl diphosphate synthase
KBOACNCO_00120	CDS	396				hypothetical protein
KBOACNCO_00121	CDS	873				hypothetical protein
KBOACNCO_00122	CDS	675	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
KBOACNCO_00123	CDS	456	rimP			Ribosome maturation factor RimP
KBOACNCO_00124	CDS	1377	nusA			Transcription termination/antitermination protein NusA
KBOACNCO_00125	CDS	255				hypothetical protein
KBOACNCO_00126	CDS	3006	infB			Translation initiation factor IF-2
KBOACNCO_00127	CDS	669				hypothetical protein
KBOACNCO_00128	CDS	2241	glgX_1	3.2.1.196		Glycogen debranching enzyme
KBOACNCO_00129	CDS	423				hypothetical protein
KBOACNCO_00130	CDS	294				IS630 family transposase ISTcSa
KBOACNCO_00131	CDS	795	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
KBOACNCO_00132	CDS	423				hypothetical protein
KBOACNCO_00133	CDS	846	htpX_1	3.4.24.-		Protease HtpX
KBOACNCO_00134	CDS	483	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
KBOACNCO_00135	CDS	528				hypothetical protein
KBOACNCO_00136	CDS	306				hypothetical protein
KBOACNCO_00137	CDS	855				hypothetical protein
KBOACNCO_00138	CDS	108	psbM			Photosystem II reaction center protein M
KBOACNCO_00139	CDS	915		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
KBOACNCO_00140	CDS	921		3.5.3.24	COG0010	N(1)-aminopropylagmatine ureohydrolase
KBOACNCO_00141	CDS	741				hypothetical protein
KBOACNCO_00142	CDS	567	ycf4			Photosystem I assembly protein Ycf4
KBOACNCO_00143	CDS	1479				hypothetical protein
KBOACNCO_00144	CDS	897	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
KBOACNCO_00145	CDS	375				hypothetical protein
KBOACNCO_00146	CDS	537	lptD_1			LPS-assembly protein LptD
KBOACNCO_00147	CDS	759	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
KBOACNCO_00148	CDS	786	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
KBOACNCO_00149	CDS	261	psaK1			Photosystem I reaction center subunit PsaK 1
KBOACNCO_00150	CDS	273				hypothetical protein
KBOACNCO_00151	CDS	1566	ndhB_1	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
KBOACNCO_00152	CDS	981	phoA	3.1.3.1		Alkaline phosphatase
KBOACNCO_00153	CDS	150				hypothetical protein
KBOACNCO_00154	CDS	801				hypothetical protein
KBOACNCO_00155	CDS	555		1.11.1.15		Peroxiredoxin
KBOACNCO_00156	CDS	1896	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
KBOACNCO_00157	CDS	102				hypothetical protein
KBOACNCO_00158	CDS	1785	dfa5	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
KBOACNCO_00159	CDS	519				hypothetical protein
KBOACNCO_00160	CDS	1737	dfa3_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 3
KBOACNCO_00161	CDS	1389				hypothetical protein
KBOACNCO_00162	CDS	633	yciO		COG0009	putative protein YciO
KBOACNCO_00163	CDS	1269	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
KBOACNCO_00164	CDS	945	atpG_1		COG0224	ATP synthase gamma chain
KBOACNCO_00165	CDS	1512	atpA	7.1.2.2		ATP synthase subunit alpha
KBOACNCO_00166	CDS	558	atpH_1		COG0712	ATP synthase subunit delta
KBOACNCO_00167	CDS	540	atpF		COG0711	ATP synthase subunit b
KBOACNCO_00168	CDS	432	atpG_2		COG0711	ATP synthase subunit b'
KBOACNCO_00169	CDS	246	atpH_2			ATP synthase subunit c
KBOACNCO_00170	CDS	747	atpB		COG0356	ATP synthase subunit a
KBOACNCO_00171	CDS	384				hypothetical protein
KBOACNCO_00172	CDS	1374				hypothetical protein
KBOACNCO_00173	CDS	1314	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
KBOACNCO_00174	CDS	1125				hypothetical protein
KBOACNCO_00175	CDS	945				hypothetical protein
KBOACNCO_00176	CDS	357	iscA		COG0316	Iron-binding protein IscA
KBOACNCO_00177	CDS	990				hypothetical protein
KBOACNCO_00178	CDS	669				hypothetical protein
KBOACNCO_00179	CDS	783	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
KBOACNCO_00180	CDS	2292				hypothetical protein
KBOACNCO_00181	CDS	588				hypothetical protein
KBOACNCO_00182	tRNA	76				tRNA-Pro(ggg)
KBOACNCO_00183	CDS	786				hypothetical protein
KBOACNCO_00184	CDS	1005				hypothetical protein
KBOACNCO_00185	CDS	648				hypothetical protein
KBOACNCO_00186	CDS	1425	lpdA	1.8.1.4		Dihydrolipoyl dehydrogenase
KBOACNCO_00187	CDS	492				hypothetical protein
KBOACNCO_00188	CDS	741				hypothetical protein
KBOACNCO_00189	CDS	621	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
KBOACNCO_00190	CDS	381				hypothetical protein
KBOACNCO_00191	CDS	486				hypothetical protein
KBOACNCO_00192	CDS	2553				hypothetical protein
KBOACNCO_00193	CDS	2121				hypothetical protein
KBOACNCO_00194	CDS	1842				hypothetical protein
KBOACNCO_00195	CDS	1794	typA		COG1217	GTP-binding protein TypA/BipA 
KBOACNCO_00196	CDS	1530				hypothetical protein
KBOACNCO_00197	CDS	879	rbn_1	3.1.26.11		Ribonuclease BN
KBOACNCO_00198	CDS	300				hypothetical protein
KBOACNCO_00199	CDS	651	upp	2.4.2.9		Uracil phosphoribosyltransferase
KBOACNCO_00200	CDS	849				hypothetical protein
KBOACNCO_00201	CDS	1335				hypothetical protein
KBOACNCO_00202	CDS	2007				hypothetical protein
KBOACNCO_00203	CDS	726				hypothetical protein
KBOACNCO_00204	CDS	2010				hypothetical protein
KBOACNCO_00205	CDS	303	ccmL			Carbon dioxide concentrating mechanism protein CcmL
KBOACNCO_00206	CDS	336	ccmK1			Carbon dioxide-concentrating mechanism protein CcmK 
KBOACNCO_00207	CDS	312	ccmK2			Carbon dioxide-concentrating mechanism protein CcmK 
KBOACNCO_00208	CDS	1485	gltB_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
KBOACNCO_00209	CDS	1326				hypothetical protein
KBOACNCO_00210	CDS	483				hypothetical protein
KBOACNCO_00211	CDS	1065		3.5.1.11		Penicillin acylase
KBOACNCO_00212	CDS	1467				hypothetical protein
KBOACNCO_00213	CDS	777				hypothetical protein
KBOACNCO_00214	CDS	858				hypothetical protein
KBOACNCO_00215	CDS	1701			COG0659	putative sulfate transporter
KBOACNCO_00216	CDS	1182	pcxA_1			Proton extrusion protein PcxA
KBOACNCO_00217	CDS	2031				hypothetical protein
KBOACNCO_00218	CDS	189				hypothetical protein
KBOACNCO_00219	CDS	534				hypothetical protein
KBOACNCO_00220	CDS	1452	speA_2	4.1.1.19	COG1982	Arginine decarboxylase
KBOACNCO_00221	CDS	1083	ald	1.4.1.1	COG0686	Alanine dehydrogenase
KBOACNCO_00222	CDS	726	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
KBOACNCO_00223	CDS	321				Ycf54-like protein
KBOACNCO_00224	CDS	1347				hypothetical protein
KBOACNCO_00225	CDS	531	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
KBOACNCO_00226	CDS	1185	hhoA			Putative serine protease HhoA
KBOACNCO_00227	CDS	696	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_00228	CDS	987	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
KBOACNCO_00229	CDS	549	spmB			Spore maturation protein B
KBOACNCO_00230	CDS	612	spmA		COG2715	Spore maturation protein A
KBOACNCO_00231	CDS	1518	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
KBOACNCO_00232	CDS	453	fosB	2.5.1.-		Metallothiol transferase FosB
KBOACNCO_00233	CDS	1095	thiL_1	2.7.4.16	COG0611	Thiamine-monophosphate kinase
KBOACNCO_00234	CDS	1056				hypothetical protein
KBOACNCO_00235	CDS	1482				hypothetical protein
KBOACNCO_00236	CDS	1359	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_00237	CDS	2505	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_00238	CDS	537	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
KBOACNCO_00239	CDS	582				hypothetical protein
KBOACNCO_00240	CDS	750	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
KBOACNCO_00241	CDS	1137	hrcA			Heat-inducible transcription repressor HrcA
KBOACNCO_00242	tRNA	86				tRNA-Ser(tga)
KBOACNCO_00243	CDS	570	aroK	2.7.1.71	COG0703	Shikimate kinase 1
KBOACNCO_00244	CDS	1176	tal	2.2.1.2		Transaldolase
KBOACNCO_00245	CDS	198				hypothetical protein
KBOACNCO_00246	CDS	1089				hypothetical protein
KBOACNCO_00247	CDS	714	msrA_2	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
KBOACNCO_00248	CDS	114				hypothetical protein
KBOACNCO_00249	CDS	288				hypothetical protein
KBOACNCO_00250	CDS	801	ycf3_1			Photosystem I assembly protein Ycf3
KBOACNCO_00251	CDS	525	dnaJ_1			Chaperone protein DnaJ
KBOACNCO_00252	CDS	606				hypothetical protein
KBOACNCO_00253	CDS	1770				hypothetical protein
KBOACNCO_00254	CDS	939				hypothetical protein
KBOACNCO_00255	CDS	663				hypothetical protein
KBOACNCO_00256	CDS	894	pheA			Bifunctional chorismate mutase/prephenate dehydratase
KBOACNCO_00257	tRNA	72				tRNA-Thr(cgt)
KBOACNCO_00258	CDS	1758				hypothetical protein
KBOACNCO_00259	CDS	246				hypothetical protein
KBOACNCO_00260	CDS	585				hypothetical protein
KBOACNCO_00261	CDS	1179	fbiC_1		COG1060	FO synthase
KBOACNCO_00262	CDS	372				hypothetical protein
KBOACNCO_00263	CDS	1914				hypothetical protein
KBOACNCO_00264	CDS	1068				hypothetical protein
KBOACNCO_00265	CDS	576				hypothetical protein
KBOACNCO_00266	CDS	825	birA	6.3.4.15		Bifunctional ligase/repressor BirA
KBOACNCO_00267	CDS	411				hypothetical protein
KBOACNCO_00268	CDS	717	menG	2.1.1.163		Demethylmenaquinone methyltransferase
KBOACNCO_00269	CDS	252				hypothetical protein
KBOACNCO_00270	CDS	312				hypothetical protein
KBOACNCO_00271	CDS	1428	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
KBOACNCO_00272	CDS	573				hypothetical protein
KBOACNCO_00273	CDS	795				hypothetical protein
KBOACNCO_00274	CDS	1650	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
KBOACNCO_00275	CDS	1176				hypothetical protein
KBOACNCO_00276	CDS	1524	crtNb_1	1.14.99.44		4,4'-diapolycopene oxygenase
KBOACNCO_00277	CDS	273				hypothetical protein
KBOACNCO_00278	CDS	1083	futA1			Iron uptake protein A1
KBOACNCO_00279	CDS	696	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
KBOACNCO_00280	CDS	174				hypothetical protein
KBOACNCO_00281	CDS	1086	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
KBOACNCO_00282	CDS	2268				hypothetical protein
KBOACNCO_00283	CDS	396	psbU			Photosystem II 12 kDa extrinsic protein
KBOACNCO_00284	CDS	498				hypothetical protein
KBOACNCO_00285	CDS	147				hypothetical protein
KBOACNCO_00286	CDS	1362	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
KBOACNCO_00287	CDS	1245	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
KBOACNCO_00288	CDS	423	crcB			Putative fluoride ion transporter CrcB
KBOACNCO_00289	CDS	405				hypothetical protein
KBOACNCO_00290	CDS	198				hypothetical protein
KBOACNCO_00291	CDS	1608	smc_1			Chromosome partition protein Smc
KBOACNCO_00292	CDS	1149				hypothetical protein
KBOACNCO_00293	CDS	1200	egtB	1.14.99.50		Hercynine oxygenase
KBOACNCO_00294	CDS	1299				hypothetical protein
KBOACNCO_00295	CDS	2523	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
KBOACNCO_00296	CDS	1458				hypothetical protein
KBOACNCO_00297	CDS	495				hypothetical protein
KBOACNCO_00298	CDS	852	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
KBOACNCO_00299	CDS	651				hypothetical protein
KBOACNCO_00300	CDS	1023	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
KBOACNCO_00301	CDS	723	pbsA1	1.14.14.18		Heme oxygenase 1
KBOACNCO_00302	CDS	588				hypothetical protein
KBOACNCO_00303	CDS	237	rpmB		COG0227	50S ribosomal protein L28
KBOACNCO_00304	CDS	1434				hypothetical protein
KBOACNCO_00305	tRNA	74				tRNA-Pro(cgg)
KBOACNCO_00306	CDS	663				hypothetical protein
KBOACNCO_00307	CDS	1908	sir_1	1.8.7.1		Sulfite reductase [ferredoxin]
KBOACNCO_00308	CDS	927				hypothetical protein
KBOACNCO_00309	CDS	1176	dnaN		COG0592	Beta sliding clamp
KBOACNCO_00310	CDS	795	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
KBOACNCO_00311	CDS	450				hypothetical protein
KBOACNCO_00312	CDS	378				hypothetical protein
KBOACNCO_00313	CDS	1176	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
KBOACNCO_00314	CDS	300				hypothetical protein
KBOACNCO_00315	CDS	1506	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
KBOACNCO_00316	CDS	1884	cysG_1	4.99.1.4		Siroheme synthase
KBOACNCO_00317	CDS	1356				hypothetical protein
KBOACNCO_00318	CDS	1056	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
KBOACNCO_00319	CDS	477				hypothetical protein
KBOACNCO_00320	CDS	270	rpsO			30S ribosomal protein S15
KBOACNCO_00321	CDS	1014			COG0701	Putative two-component membrane permease complex subunit SMU_747c
KBOACNCO_00322	CDS	471				hypothetical protein
KBOACNCO_00323	CDS	513				hypothetical protein
KBOACNCO_00324	CDS	486	apcD_1			Allophycocyanin subunit alpha-B
KBOACNCO_00325	CDS	1263	metK	2.5.1.6		S-adenosylmethionine synthase
KBOACNCO_00326	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
KBOACNCO_00327	CDS	609				hypothetical protein
KBOACNCO_00328	CDS	534	infC			Translation initiation factor IF-3
KBOACNCO_00329	CDS	843				hypothetical protein
KBOACNCO_00330	CDS	555				hypothetical protein
KBOACNCO_00331	tRNA	73				tRNA-Val(tac)
KBOACNCO_00332	CDS	2271				hypothetical protein
KBOACNCO_00333	CDS	729				hypothetical protein
KBOACNCO_00334	CDS	831				hypothetical protein
KBOACNCO_00335	CDS	270				hypothetical protein
KBOACNCO_00336	CDS	432				hypothetical protein
KBOACNCO_00337	CDS	564				hypothetical protein
KBOACNCO_00338	CDS	1293	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KBOACNCO_00339	CDS	771	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
KBOACNCO_00340	CDS	1083	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
KBOACNCO_00341	CDS	561	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
KBOACNCO_00342	CDS	1221				hypothetical protein
KBOACNCO_00343	CDS	453				hypothetical protein
KBOACNCO_00344	CDS	861				hypothetical protein
KBOACNCO_00345	CDS	591				hypothetical protein
KBOACNCO_00346	CDS	306				hypothetical protein
KBOACNCO_00347	CDS	1137	rfbE	2.6.1.102	COG0399	GDP-perosamine synthase
KBOACNCO_00348	CDS	1026				hypothetical protein
KBOACNCO_00349	CDS	1236	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
KBOACNCO_00350	CDS	786	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KBOACNCO_00351	CDS	750				hypothetical protein
KBOACNCO_00352	CDS	207				hypothetical protein
KBOACNCO_00353	CDS	348				hypothetical protein
KBOACNCO_00354	CDS	2070				hypothetical protein
KBOACNCO_00355	CDS	1104	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00356	CDS	1071				hypothetical protein
KBOACNCO_00357	CDS	1206	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00358	CDS	1023	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
KBOACNCO_00359	CDS	357				hypothetical protein
KBOACNCO_00360	CDS	414				hypothetical protein
KBOACNCO_00361	CDS	858				hypothetical protein
KBOACNCO_00362	CDS	807	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KBOACNCO_00363	CDS	963	gmd_2	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
KBOACNCO_00364	CDS	1155				hypothetical protein
KBOACNCO_00365	CDS	1332				hypothetical protein
KBOACNCO_00366	CDS	849				IS630 family transposase ISTcSa
KBOACNCO_00367	CDS	1146	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00368	CDS	1161	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00369	CDS	255				hypothetical protein
KBOACNCO_00370	CDS	231				hypothetical protein
KBOACNCO_00371	CDS	318	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
KBOACNCO_00372	CDS	495				hypothetical protein
KBOACNCO_00373	CDS	237				hypothetical protein
KBOACNCO_00374	CDS	198				hypothetical protein
KBOACNCO_00375	CDS	633				hypothetical protein
KBOACNCO_00376	CDS	411				hypothetical protein
KBOACNCO_00377	CDS	546				hypothetical protein
KBOACNCO_00378	CDS	543				hypothetical protein
KBOACNCO_00379	CDS	1275				hypothetical protein
KBOACNCO_00380	CDS	1086				hypothetical protein
KBOACNCO_00381	CDS	1179	dadA	1.4.99.-		D-amino acid dehydrogenase
KBOACNCO_00382	CDS	282				hypothetical protein
